Sequence_ID,Direction,Sender,Recipient,Packet_Type,Transmission_Timestamp
2227,UPLINK,23,0,DATA-ULDATA,0.0029282014516273215
2228,DOWNLINK,0,"23,",CNTRL-ACK,0.0029299330432569983
2245,DOWNLINK,0,"16,18,",CNTRL-CTA,0.0029446933653381473
2246,UPLINK,18,0,CNTRL-RTS,0.0029447409440750217
2247,DOWNLINK,0,"18,",CNTRL-CTS,0.0029456158854682195
2248,UPLINK,18,0,DATA-ULDATA,0.0029456158854682195
2249,DOWNLINK,0,"18,",CNTRL-ACK,0.0029473474770978962
2263,DOWNLINK,0,"23,",CNTRL-CTA,0.00295934023878883
2264,UPLINK,23,0,CNTRL-RTS,0.0029593949029521867
2265,DOWNLINK,0,"23,",CNTRL-CTS,0.002960262758918902
2266,UPLINK,23,0,DATA-ULDATA,0.002960262758918902
2267,DOWNLINK,0,"23,",CNTRL-ACK,0.002961994350548579
2272,DOWNLINK,0,"12,21,",CNTRL-CTA,0.002965684431068866
2273,UPLINK,21,0,CNTRL-RTS,0.002965708550289759
2274,DOWNLINK,0,"21,",CNTRL-CTS,0.0029666069511989383
2275,UPLINK,21,0,DATA-ULDATA,0.0029666069511989383
2276,DOWNLINK,0,"21,",CNTRL-ACK,0.002968338542828615
2291,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0029812538246496204
2292,UPLINK,13,0,CNTRL-RTS,0.0029812718745912833
2293,DOWNLINK,0,"13,",CNTRL-CTS,0.0029821763447796927
2294,UPLINK,13,0,DATA-ULDATA,0.0029821763447796927
2295,DOWNLINK,0,"13,",CNTRL-ACK,0.0029839079364093694
2333,DOWNLINK,0,"4,",CNTRL-CTA,0.0030180411812220265
2334,UPLINK,4,0,CNTRL-RTS,0.003018073617322427
2335,DOWNLINK,0,"4,",CNTRL-CTS,0.0030189637013520987
2336,UPLINK,4,0,DATA-ULDATA,0.0030189637013520987
2337,DOWNLINK,0,"4,",CNTRL-ACK,0.0030206952929817754
2392,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0030705113800056534
2393,UPLINK,2,0,CNTRL-RTS,0.0030705539638354873
2394,DOWNLINK,0,"2,",CNTRL-CTS,0.0030714339001357257
2395,UPLINK,2,0,DATA-ULDATA,0.0030714339001357257
